ID_ученика,Класс,Район,Средний_балл,Часы_самоподготовки_в_неделю,Посещаемость_%,Уверенность_в_себе,Уровень_стресса_перед_экзаменом,Пропущенные_дни,Тип_школы,Рез_экзамена,Индекс_качества_школы,Стабильность_преподавателей,Доступ_к_ресурсам,Образовательная_среда
1,11,Исмоили Сомони,3.883,15,81.091,4.0,6.0,8,Обычная школа,1,0.4,0.2911,0.3107,0.197
2,11,Сино,3.915,15,87.872,4.0,4.0,10,Обычная школа,0,0.4443,0.2559,0.4509,0.5341
3,11,Шохмансур,3.66,5,71.282,5.0,6.0,13,Обычная школа,0,0.2499,0.1305,0.1049,0.2666
4,11,Исмоили Сомони,4.401,15,84.693,5.0,5.0,10,Обычная школа,1,0.5137,0.5229,0.4238,0.4449
5,11,Сино,4.311,12,75.941,5.0,4.0,9,Лицей/гимназия,1,0.4473,0.4858,0.4935,0.4143
6,11,Шохмансур,4.145,18,83.244,5.0,5.0,7,Лицей/гимназия,1,0.5055,0.3851,0.4842,0.3778
7,11,Исмоили Сомони,4.082,16,91.931,5.0,5.0,4,Обычная школа,1,0.5361,0.227,0.4627,0.3535
8,11,Шохмансур,3.53,4,69.495,3.0,5.0,17,Обычная школа,1,0.2445,0.053,0.1879,0.224
9,11,Сино,4.196,14,81.132,5.0,6.0,10,Обычная школа,1,0.6019,0.4455,0.5632,0.467
10,11,Фирдавси,3.904,11,77.818,5.0,6.0,10,Обычная школа,1,0.1922,0.0875,0.2838,0.6272
11,11,Сино,4.752,22,90.87,6.0,5.0,7,Лицей/гимназия,1,0.7235,0.4335,0.6001,0.6388
12,11,Сино,4.112,11,76.563,5.0,6.0,11,Обычная школа,1,0.419,0.2993,0.1853,0.4449
13,11,Исмоили Сомони,4.307,6,74.171,5.0,6.0,11,Обычная школа,0,0.4432,0.2707,0.2233,0.4736
14,11,Шохмансур,4.988,18,84.624,8.0,3.0,9,Лицей/гимназия,1,0.7409,0.4702,0.5987,0.763
15,11,Исмоили Сомони,4.563,12,80.182,6.0,4.0,13,Лицей/гимназия,1,0.5999,0.2302,0.387,0.5276
16,11,Сино,4.449,13,86.812,7.0,3.0,9,Лицей/гимназия,1,0.6013,0.4027,0.4465,0.6895
17,11,Сино,3.769,17,86.312,5.0,3.0,8,Обычная школа,1,0.3887,0.1345,0.2688,0.443
18,11,Сино,4.706,9,81.233,7.0,1.0,10,Лицей/гимназия,1,0.6289,0.3764,0.6759,0.6299
19,11,Фирдавси,3.26,13,81.106,1.0,8.0,11,Обычная школа,0,0.1444,0.0974,0.0432,0.1511
20,11,Шохмансур,4.202,19,89.585,7.0,4.0,3,Обычная школа,1,0.61,0.4227,0.3611,0.5303
21,11,Исмоили Сомони,4.058,12,80.925,5.0,5.0,12,Обычная школа,0,0.4323,0.4838,0.2603,0.4066
22,11,Исмоили Сомони,4.294,11,78.271,4.0,4.0,9,Обычная школа,0,0.4117,0.1517,0.3022,0.4521
23,11,Исмоили Сомони,4.562,15,82.915,5.0,4.0,8,Лицей/гимназия,1,0.5651,0.3337,0.4192,0.3694
24,11,Фирдавси,4.118,8,75.004,4.0,5.0,15,Обычная школа,1,0.3401,0.1744,0.0999,0.3193
25,11,Исмоили Сомони,3.765,7,69.695,3.0,6.0,13,Обычная школа,1,0.2394,0.1496,0.1707,0.2393
26,11,Шохмансур,3.921,18,88.36,5.0,6.0,5,Обычная школа,1,0.4301,0.1905,0.3027,0.3622
27,11,Исмоили Сомони,4.065,13,74.733,5.0,6.0,9,Обычная школа,1,0.1923,0.1554,0.1811,0.3441
28,11,Исмоили Сомони,3.587,16,83.147,5.0,6.0,7,Обычная школа,0,0.3077,0.2157,0.2752,0.3736
29,11,Сино,3.876,11,78.837,5.0,4.0,9,Обычная школа,0,0.5361,0.3847,0.6709,0.441
30,11,Фирдавси,3.65,6,67.118,3.0,7.0,10,Обычная школа,0,0.2623,0.0998,0.2246,0.319
